21:06:00.833 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：108
21:06:01.358 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：118
21:06:01.391 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：103
21:06:01.678 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：156
21:06:02.075 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：100
21:06:02.337 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：104
21:06:02.824 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：101
21:06:03.365 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：112
21:06:03.727 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：101
21:06:05.015 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：101
21:06:05.058 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：99
21:06:05.408 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：109
21:06:05.493 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：100
21:06:05.628 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：99
21:06:05.717 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：106
21:06:07.311 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：107
21:06:07.359 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：105
21:06:07.697 [main] INFO  com.mazhangjing.zsw.data.DataCollect - [MAIN] Save File now...
