Total Line is 161
空行数据： 21
反应时小于 250ms 的数据：21
错误回答数据：13
使用的数据： 138
使用的数据中，两个标准差过滤后剔除的数据个数为： 8
ACC： 0.91875
检测到本实验为 ORDER CHECK_BY
For LEFT_LATE: 1038.8541666666667 ms, SD is 128.11331247506376 ms
For LEFT_EARLY: 1120.9444444444443 ms, SD is 121.68400359959458 ms
For RIGHT_LATE: 1045.2156862745098 ms, SD is 134.3385743151222 ms
For RIGHT_EARLY: 1096.7692307692307 ms, SD is 72.77379776420659 ms



ID, SHOW_TIME, ACTION_TIME, SHOW_TIME_MS, DURATION_TIME_MS,STAND_SIZE, ACTION_SIZE, SIZE_IS_BIG, ACTION_ORDER, STI_IS_LEFT,CHECK_BY, ANSWER, ORDER_IS_LATE, STAND_ANSWER, CORRECT
33, 6135912522235, 6136896155075, 0, 983, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
33, 6138744522235, 6139781544374, 0, 1037, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
33, 6141592522235, 6142538853590, 0, 946, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
33, 6144535522235, 6145550517924, 0, 1014, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
33, 6147473522235, 6148684380253, 0, 1210, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
33, 6150542522235, 6151694074931, 0, 1151, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
33, 6153572522235, 6154703169803, 0, 1130, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
33, 6156565522235, 6157589350907, 0, 1023, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
33, 6159382522235, 0, 0, 0, 20, -1, 0, -1, 1, NONE, 1, 0, 1, 1
33, 6163310522235, 6164108298536, 0, 797, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
33, 6165894522235, 6167115746056, 0, 1221, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
33, 6169013522235, 6169999352578, 0, 985, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
33, 6171991522235, 6173009409239, 0, 1017, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
33, 6175016522235, 6176393989197, 0, 1377, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
33, 6178360522235, 6179277289289, 0, 916, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
33, 6181068522235, 6182160490053, 0, 1091, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
