GROUP, ID, MIN, MAX, ACC, MEAN, STD, SIZE_SMALL_LFFT, SIZE_SMALL_RIGHT, SIZE_BIG_LFFT, SIZE_BIG_RIGHT, ORDER_EARLY_LEFT, ORDER_EARLY_RIGHT, ORDER_LATE_LEFT, ORDER_LATE_RIGHT, SIZE_CONGRUNCY, SIZE_UNCONGRUNCY, ORDER_CONGRUNCY, ORDER_UNCONGRUNCY, SIZE10LEFT, SIZE10LEFTSD, SIZE14LEFT, SIZE14LEFTSD, SIZE28LEFT, SIZE28LEFTSD, SIZE40LEFT, SIZE40LEFTSD, SIZE10RIGHT, SIZE10RIGHTSD, SIZE14RIGHT, SIZE14RIGHTSD, SIZE28RIGHT, SIZE28RIGHTSD, SIZE40RIGHT, SIZE40RIGHTSD, ORDER0LEFT, ORDER0LEFTSD, ORDER1LEFT, ORDER1LEFTSD, ORDER3LEFT, ORDER3LEFTSD, ORDER4LEFT, ORDER4LEFTSD, ORDER0RIGHT, ORDER0RIGHTSD, ORDER1RIGHT, ORDER1RIGHTSD, ORDER3RIGHT, ORDER3RIGHTSD, ORDER4RIGHT, ORDER4RIGHTSD
-1, 44, 635.0, 1072.0, 0.95, 866.021897810219, 92.80723754368233, 0.0, 0.0, 0.0, 0.0, 775.4444444444445, 839.5714285714286, 879.0392156862745, 890.7777777777778, 0.0, 0.0, 833.1111111111111, 859.3053221288515, , , , , , , , , , , , , , , , , 775.4444444444445, 85.84601337101162, 853.75, 96.59068728177276, 906.2666666666667, 96.93709300365882, 895.5833333333334, 125.62831830035121, 839.5714285714286, 100.12696701593194, 903.2857142857143, 95.68733424056673, 893.2, 145.60628584024275, 882.8636363636364, 83.60638814425688
-1, 32, 717.0, 1186.0, 0.99375, 944.1721854304636, 104.53935537008083, 0.0, 0.0, 0.0, 0.0, 852.0, 871.8947368421053, 961.5087719298245, 982.3214285714286, 0.0, 0.0, 917.1607142857142, 916.7017543859649, , , , , , , , , , , , , , , , , 852.0, 150.51791290495348, 960.75, 117.97139483790127, 956.7894736842105, 119.17579893850757, 967.3333333333334, 95.5232435508737, 871.8947368421053, 119.94274950114632, 929.6842105263158, 93.33574558286215, 1008.0, 98.64336347618494, 1006.05, 83.54334489467414
-1, 40, 621.0, 958.0, 0.9875, 772.9655172413793, 75.02012820580438, 0.0, 0.0, 0.0, 0.0, 745.6153846153846, 759.3846153846154, 798.1020408163265, 766.9298245614035, 0.0, 0.0, 756.2726045883941, 778.743328100471, , , , , , , , , , , , , , , , , 745.6153846153846, 76.87318895094165, 844.8421052631579, 83.99403174286284, 775.8461538461538, 49.52751113244395, 769.5, 81.96503319505621, 759.3846153846154, 83.9896208483906, 766.4375, 103.07635662031157, 747.5909090909091, 75.46781634808195, 791.5882352941177, 61.53358719383404
-1, 33, 797.0, 1379.0, 0.91875, 1058.5076923076922, 127.76487890439599, 0.0, 0.0, 0.0, 0.0, 1120.9444444444443, 1096.7692307692307, 1038.8541666666667, 1045.2156862745098, 0.0, 0.0, 1083.080065359477, 1067.8116987179487, , , , , , , , , , , , , , , , , 1120.9444444444443, 140.40667750402505, 1078.5333333333333, 198.54029817646594, 1051.35, 179.03981999224962, 991.6923076923077, 111.86955217259387, 1096.7692307692307, 92.08706463194206, 1122.4444444444443, 156.0983720427153, 991.3529411764706, 140.52540300205118, 1015.5625, 168.90501594613673
-1, 39, 634.0, 1060.0, 0.98125, 852.1103448275862, 84.01604651967939, 0.0, 0.0, 0.0, 0.0, 873.3571428571429, 842.7916666666666, 870.8771929824561, 829.24, 0.0, 0.0, 851.2985714285714, 856.8344298245613, , , , , , , , , , , , , , , , , 873.3571428571429, 161.30382453470781, 872.1666666666666, 86.50003853563689, 853.4705882352941, 50.07758686161258, 887.4375, 130.98911045893675, 842.7916666666666, 106.26626900167444, 833.2307692307693, 86.92348536323372, 813.1176470588235, 54.02143823958858, 842.8, 83.42636210896914
-1, 43, 669.0, 1066.0, 1.0, 866.1730769230769, 98.06463723954253, 0.0, 0.0, 0.0, 0.0, 816.6666666666666, 824.5555555555555, 880.3035714285714, 882.5245901639345, 0.0, 0.0, 849.5956284153006, 852.4295634920635, , , , , , , , , , , , , , , , , 816.6666666666666, 85.17966751270963, 845.1904761904761, 118.33435580103459, 846.5, 90.25192254910431, 931.55, 78.26908712895532, 824.5555555555555, 116.69629875789056, 849.1176470588235, 100.6701807593373, 923.1304347826087, 79.81253034455179, 878.8421052631579, 114.45044894257906
-1, 29, 750.0, 1101.0, 1.0, 908.258064516129, 74.21273726829482, 0.0, 0.0, 0.0, 0.0, 867.0588235294117, 903.3181818181819, 908.0166666666667, 922.9642857142857, 0.0, 0.0, 895.0115546218487, 905.6674242424242, , , , , , , , , , , , , , , , , 867.0588235294117, 109.09588335361644, 863.2222222222222, 106.07142027346674, 926.2272727272727, 60.42857398708457, 925.8, 69.63592395281265, 903.3181818181819, 72.11194099892218, 904.5238095238095, 95.73485209035373, 908.3529411764706, 102.27126558670271, 945.7368421052631, 80.57490793959174
-1, 45, 691.0, 1139.0, 0.9625, 882.2344827586207, 96.36310193114949, 0.0, 0.0, 0.0, 0.0, 821.8, 847.0625, 900.4807692307693, 896.6666666666666, 0.0, 0.0, 859.2333333333333, 873.7716346153846, , , , , , , , , , , , , , , , , 821.8, 77.72537123316513, 885.7272727272727, 127.19312445683104, 885.2666666666667, 175.89910697139237, 937.3333333333334, 113.28640484987388, 847.0625, 101.71474674737361, 921.1333333333333, 85.79588179704976, 879.1428571428571, 113.97505802943842, 885.6, 127.76826120531096
-1, 38, 686.0, 1146.0, 0.96875, 877.1338028169014, 94.5476148476485, 0.0, 0.0, 0.0, 0.0, 894.4117647058823, 908.3, 863.4363636363636, 873.86, 0.0, 0.0, 884.1358823529412, 885.8681818181817, , , , , , , , , , , , , , , , , 894.4117647058823, 103.69490032273129, 875.25, 129.005048860806, 859.4, 61.16636882572542, 874.0, 101.19592076306716, 908.3, 126.16784977080918, 902.2631578947369, 111.19094792556089, 831.8235294117648, 84.863904888599, 890.9375, 113.67055834002635
-1, 35, 698.0, 1123.0, 1.0, 922.4761904761905, 92.03322310584988, 0.0, 0.0, 0.0, 0.0, 879.4, 942.7222222222222, 911.6727272727272, 942.6851851851852, 0.0, 0.0, 911.0425925925927, 927.1974747474746, , , , , , , , , , , , , , , , , 879.4, 103.40339406790235, 932.95, 160.13107726097985, 855.0, 146.48217834067248, 929.1904761904761, 108.93857238881257, 942.7222222222222, 86.36645033049615, 968.4705882352941, 115.78380235978126, 951.4090909090909, 126.58108370127088, 936.1764705882352, 96.34525674226018
